airportname,latitude,longitude,count
Chapais Airport,49.7719,-74.5281,2
Chapeco,-27.134219,-52.656553,1
Charles De Gaulle,49.012779,2.55,416
Charles M Schulz Sonoma Co,38.508978,-122.81288,4
Charleston Afb Intl,32.898647,-80.040528,22
Charleville,-26.413334,146.2625,2
Charlo,47.990833,-66.330278,1
Charlotte County-Punta Gorda Airport,26.919722,-81.990556,17
Charlotte Douglas Intl,35.214,-80.943139,283
Charlottesville-Albemarle,38.138639,-78.452861,7
Charlottetown,46.290001,-63.121111,2
Chautauqua County-Jamestown,42.153333,-79.258056,1
Cheboksary Airport,56.0903,47.3473,1
Cheddi Jagan Intl,6.498553,-58.254119,4
Chefornak Airport,60.149167,-164.285556,1
Chennai Intl,12.994414,80.180517,75
Cheongju International Airport,36.7166,127.499119,3
Cherepovets Airport,59.2736,38.0158,6
Cherry Capital Airport,44.741445,-85.582235,1
Chertovitskoye,51.814211,39.229589,5
Chesterfield Inlet Airport,63.3469,-90.7311,3
Chevak Airport,61.5338,-165.584,1
Chevery Airport,50.4689,-59.6367,3
Cheyenne Rgnl Jerry Olson Fld,41.155722,-104.811839,3
Chhatrapati Shivaji Intl,19.088686,72.867919,178
Chiang Mai Intl,18.766847,98.962644,16
Chicago Midway Intl,41.785972,-87.752417,129
Chicago Ohare Intl,41.978603,-87.904842,512
Chicago Rockford International Airport ,42.1953611,-89.0972222,4
Chifeng Airport,42.235,118.908,8
Chileka Intl,-15.679053,34.974014,2
Ching Chuang Kang,24.264668,120.62058,21
Chinggis Khaan Intl,47.843056,106.766639,14
Chios,38.343175,26.140572,1
Chisasibi Airport,53.8056,-78.9169,3
Chisinau Intl,46.927744,28.930978,22
Chitral Airport,35.886592,71.800578,1
Choibalsan Airport,48.1357,114.646,2
Christchurch Intl,-43.489358,172.532225,25
Christmas Island,-10.450556,105.690278,1
Chu Lai,15.405944,108.705889,1
Chubu Centrair Intl,34.858414,136.805408,57
Churchill,58.739167,-94.065,6
