airportname,latitude,longitude,count
Elazig,38.606925,39.291417,1
Eldorado Intl,4.701594,-74.146947,1
Eldoret Intl,0.404458,35.238928,1
Eleftherios Venizelos Intl,37.936358,23.944467,1
Elim Airport,64.615,-162.270556,1
Elmas,39.251469,9.054283,1
Elmira Corning Rgnl,42.159889,-76.891611,1
Emelyanovo,56.18,92.475,1
Emmonak Airport,62.786111,-164.490833,1
Enfidha - Zine El Abidine Ben Ali International Airport,36.075833,10.438611,1
Enrique Malek Intl,8.391003,-82.434992,1
Entebbe Intl,0.042386,32.443503,1
Entzheim,48.538319,7.628233,1
Enugu,6.474272,7.561961,1
Eppley Afld,41.303167,-95.894069,1
Erbil Intl,36.237611,43.963158,1
Ercan International Airport,35.1547,33.4961,1
Erechim Airport,-27.6619,-52.2683,1
Erfurt,50.979811,10.958106,1
Erhac,38.435347,38.091006,1
Erkilet,38.770386,35.495428,1
Ernesto Cortissoz,10.889589,-74.780819,1
Eros Airport,-22.6122,17.0804,1
Erzincan,39.710203,39.527003,1
Erzurum,39.956501,41.170166,1
Es Senia,35.623858,-0.621183,1
Esenboga,40.128082,32.995083,1
Esfahan Shahid Beheshti Intl,32.750836,51.861267,1
Esperance Airport,-33.6844,121.823,1
Esquel,-42.90795,-71.139472,1
EuroAirport Basel-Mulhouse-Freiburg,47.59,7.529167,1
Evansville Regional,38.036997,-87.532364,1
Evenes,68.4913,16.678108,1
Exeter,50.734444,-3.413889,1
Exuma Intl,23.562631,-75.877958,1
Faa\\'a International,-17.556667,-149.611389,1
Fabio Alberto Leon Bentley,1.253664,-70.233878,1
Fairbanks Intl,64.815114,-147.856267,1
Fairmont Hot Springs,64.193333,-83.359444,1
Fak Fak,-2.920192,132.267031,1
Fakarava,-16.05415,-145.656994,1
Falconara,43.616389,13.362222,1
Faleolo Intl,-13.829969,-172.008336,1
Falls Intl,48.566186,-93.403067,1
Faro,37.014425,-7.965911,1
Fascene,-13.312067,48.314822,1
Fatmawati Soekarno,-3.8637,102.339036,1
Fayetteville Regional Grannis Field,34.9912,-78.8803,1
Fera/Maringe Airport,-8.1075,159.577,1
Fergana Airport,40.3588,71.745,1
Ferihegy,47.436933,19.255592,1
Fernando De Noronha,-3.854928,-32.423336,1
Firenze,43.809953,11.2051,1
Fiumicino,41.804475,12.250797,1
Flamingo,12.131044,-68.268511,1
Flesland,60.293386,5.218142,1
Flin Flon,54.678055,-101.681667,1
Flores,39.455272,-31.131361,1
Floro,61.583611,5.024722,1
Ford Airport,45.8183611,-88.1145556,1
Forde Bringeland,61.392,5.763,1
Fort Albany Airport,52.2014,-81.6969,1
Fort Chipewyan,58.767223,-111.117222,1
Fort Frances Municipal Airport,48.6542,-93.4397,1
Fort Good Hope,66.26666667,-128.65,1
Fort Hope Airport,51.5619,-87.9078,1
Fort Lauderdale Hollywood Intl,26.072583,-80.15275,1
Fort Mcmurray,56.653333,-111.221944,1
Fort Nelson,58.836389,-122.596944,1
Fort Severn Airport,56.0189,-87.6761,1
Fort Smith,60.020278,-111.961944,1
